year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,1,-0.347,0.04,-0.062,-0.092,-0.089,-0.202,-0.156,0.174,0.201,0.049,0.144,0.466,0.33,0.231,0.182,0.232,0.102
1988,2,0.016,0.073,0.23,0.096,0.475,0.717,0.514,0.823,0.751,0.388,0.274,0.577,0.15,0.157,0.16,0.113,0.027
1988,3,0.026,-0.013,0.068,-0.106,0.555,0.592,0.646,1.023,1.473,0.777,1.194,1.011,1.082,0.737,0.328,0.262,0.293
1988,4,-0.071,-0.018,0.065,-0.111,0.364,0.617,0.228,0.349,0.629,-0.072,0.301,0.329,0.58,0.403,0.279,0.213,0.33
1988,5,-0.057,0.007,-0.004,-0.132,0.386,0.483,0.443,0.985,1.371,0.674,0.994,1.006,1.27,0.869,0.627,0.5,0.582
1988,6,0.091,0.197,0.379,0.162,0.553,0.691,0.505,1.3,1.663,0.87,0.564,0.819,0.744,0.43,0.414,0.341,0.245
1988,7,0.324,0.385,0.726,0.564,1.343,1.036,0.994,1.429,1.351,0.531,0.506,0.576,0.605,0.27,0.192,0.19,0.232
1988,8,0.252,0.3,0.633,0.554,1.021,1.006,0.878,1.079,0.976,0.498,0.318,0.517,0.566,0.375,0.275,0.384,0.339
1988,9,0.181,0.227,0.451,0.336,0.703,0.741,0.727,1.055,1.058,0.56,0.561,0.409,0.457,0.289,0.161,0.12,0.221
1988,10,0.016,0.106,0.271,0.159,0.381,0.388,0.187,0.607,0.525,0.228,0.321,0.335,0.459,0.329,0.247,0.193,0.238
1988,11,-0.295,-0.16,-0.378,-0.416,-0.183,-0.179,-0.271,0.327,0.434,0.265,0.238,0.455,0.575,0.523,0.318,0.174,0.593
1988,12,-0.009,0.023,0.204,-0.007,0.605,0.725,0.657,0.84,0.833,0.378,0.511,0.382,0.444,0.288,0.23,0.047,0.52
1989,1,-0.064,0.088,0.076,-0.074,0.364,0.485,0.488,0.93,0.732,0.482,0.73,0.543,0.628,0.282,0.17,0.147,-0.083
1989,2,0.054,0.019,0.004,0.006,0.512,0.283,0.266,0.363,0.965,0.259,0.546,0.201,0.31,0.174,0.195,0.108,0.226
1989,3,-0.461,-0.149,-0.437,-0.324,-0.178,-0.604,-0.443,-0.37,0.028,0.039,0.007,0.561,0.516,0.475,0.433,0.294,0.621
1989,4,0.051,0.171,0.2,0.092,0.431,0.409,0.346,0.419,0.622,0.209,0.405,0.431,0.513,0.345,0.258,0.345,0.413
1989,5,0.117,0.182,0.319,0.195,0.786,0.893,0.865,1.293,1.681,0.879,0.888,1.185,1.383,0.814,0.548,0.493,0.679
1989,6,0.021,0.093,0.362,0.268,0.874,0.85,0.713,1.197,1.179,0.44,0.393,0.614,0.734,0.427,0.279,0.311,0.427
1989,7,0.066,0.199,0.406,0.316,0.679,0.721,0.768,1.62,2.149,0.718,1.268,1.348,1.359,0.684,0.223,0.219,0.211
1989,8,0.2,0.301,0.494,0.439,0.79,0.812,0.858,1.201,1.173,0.652,0.4,0.471,0.587,0.386,0.285,0.234,0.292
1989,9,0.183,0.335,0.484,0.447,0.672,0.593,0.531,0.566,0.352,0.196,0.22,0.309,0.514,0.416,0.426,0.375,0.376
1989,10,-0.114,0.027,-0.06,-0.035,0.198,0.111,0.156,0.402,0.578,0.295,0.32,0.356,0.445,0.338,0.317,0.293,0.298
1989,11,-0.021,0.1,0.08,0.017,0.429,0.221,0.283,0.601,0.733,0.442,0.262,0.393,0.324,0.17,0.137,0.112,0.159
1989,12,-0.155,-0.037,0.124,0.115,0.41,0.45,0.395,0.78,0.665,0.165,0.227,0.259,0.263,0.169,0.246,0.11,0.137
1990,1,-0.271,-0.054,-0.429,-0.379,-0.162,0.003,-0.001,0.551,0.619,0.388,0.503,0.433,0.523,0.319,0.369,0.285,0.114
1990,2,-0.125,0.097,-0.103,-0.105,0.18,0.415,0.339,0.99,0.936,0.541,0.543,0.448,0.716,0.521,0.585,0.286,0.08
1990,3,-0.083,0.129,0.087,0.051,0.386,0.505,0.314,0.684,1.163,0.419,0.414,0.656,0.626,0.293,0.391,0.238,0.245
1990,4,0.107,0.134,0.259,0.088,0.545,0.684,0.442,1.163,1.331,0.627,0.609,0.568,0.658,0.33,0.311,0.19,0.184
1990,5,0.009,0.079,0.221,0.094,0.75,0.828,0.818,1.185,1.467,0.579,0.482,0.386,0.574,0.428,0.447,0.348,0.518
1990,6,-0.01,0.126,0.3,0.193,0.584,0.769,0.64,1.038,1.229,0.658,0.644,0.821,0.981,0.601,0.388,0.327,0.359
1990,7,0.326,0.395,0.635,0.516,0.987,1.034,0.898,0.959,0.856,0.322,0.263,0.427,0.603,0.466,0.279,0.289,0.238
1990,8,0.117,0.216,0.263,0.191,0.416,0.595,0.55,0.546,0.629,0.297,0.273,0.558,0.635,0.516,0.357,0.316,0.244
1990,9,0.229,0.297,0.355,0.295,0.474,0.542,0.474,0.74,0.962,0.384,0.472,0.563,0.644,0.454,0.311,0.244,0.179
1990,10,-0.073,0.049,0.108,0.086,0.397,0.718,0.52,1.092,1.135,0.668,0.638,0.537,0.692,0.353,0.171,0.208,0.25
1990,11,-0.169,-0.075,-0.019,-0.078,0.311,0.543,0.487,1.105,1.206,0.68,0.606,0.587,0.732,0.605,0.52,0.328,0.249
1990,12,0.165,0.067,0.443,0.094,0.729,0.76,0.828,0.822,1.102,0.56,0.3,0.323,0.622,0.444,0.344,0.134,0.156
1991,1,-0.205,-0.043,-0.035,-0.141,0.186,0.002,0.118,0.067,0.29,0.053,-0.181,0.095,0.313,0.117,0.143,0.107,0.201
1991,2,-0.419,-0.14,-0.222,-0.211,-0.142,-0.141,0.006,-0.088,0.36,0.16,0.296,0.369,0.212,0.302,0.289,0.314,0.101
1991,3,0.006,0.052,0.046,0.076,0.354,0.262,0.283,0.63,0.733,0.283,0.269,0.662,0.562,0.456,0.477,0.337,0.122
1991,4,-0.031,0.018,-0.01,-0.182,0.329,0.559,0.52,0.927,1.205,0.831,1.081,1.34,1.176,0.84,0.622,0.454,0.455
1991,5,0.112,0.183,0.39,0.223,1.057,1.117,1.091,1.563,1.911,1.015,1.142,0.996,1.257,0.945,0.696,0.506,0.595
1991,6,0.22,0.303,0.603,0.399,1.282,0.768,0.846,1.556,1.409,0.649,0.593,0.708,0.709,0.412,0.263,0.33,0.252
1991,7,0.279,0.401,0.653,0.618,1.047,1.164,1.126,1.135,0.979,0.7,0.087,0.447,0.367,0.268,0.237,0.187,0.241
1991,8,-0.053,0.079,0.16,0.147,0.516,0.533,0.594,0.966,0.895,0.387,0.423,0.798,0.782,0.559,0.224,0.434,0.291
1991,9,0.322,0.408,0.558,0.622,0.956,0.928,0.751,0.889,0.755,0.334,0.249,0.329,0.283,0.224,0.224,0.207,0.135
1991,10,0.217,0.349,0.381,0.386,0.711,0.635,0.65,0.793,0.746,0.381,0.401,0.533,0.562,0.423,0.421,0.226,0.196
1991,11,-0.272,-0.151,-0.199,-0.181,0.07,0.341,0.506,0.76,0.987,0.745,0.77,0.751,0.857,0.596,0.436,0.324,0.236
1991,12,-0.291,-0.097,-0.098,-0.072,0.081,-0.098,-0.013,-0.094,0.047,-0.107,-0.39,-0.337,-0.021,0.012,0.151,-0.113,-0.083
1992,1,-0.955,-0.505,-0.719,-0.62,-0.387,-0.485,-0.181,-0.247,0.064,-0.163,0.134,0.08,0.287,0.119,0.11,-0.105,0.063
1992,2,-0.334,-0.066,-0.212,-0.256,-0.26,-0.721,-0.55,-0.444,-0.324,-0.343,-0.08,-0.51,0.004,-0.101,0.061,0.106,0.122
1992,3,0.119,0.168,0.311,0.171,0.467,0.221,0.212,0.172,0.185,0.128,0.034,-0.017,0.17,0.096,0.205,0.124,0.224
1992,4,-0.193,-0.045,-0.075,-0.198,-0,0.112,0.116,0.571,0.752,0.61,0.817,0.869,0.887,0.679,0.459,0.369,0.41
1992,5,0.304,0.316,0.614,0.407,1.075,1.171,1.076,1.321,1.269,0.89,0.571,0.544,0.463,0.398,0.36,0.272,0.206
1992,6,0.156,0.201,0.445,0.294,0.964,0.913,0.92,1.057,0.832,0.378,0.351,0.406,0.613,0.556,0.537,0.349,0.388
1992,7,0.326,0.367,0.551,0.485,0.817,0.72,0.746,1.037,0.932,0.593,0.533,0.716,0.781,0.45,0.299,0.146,0.118
1992,8,0.256,0.306,0.425,0.306,0.586,0.584,0.56,0.792,0.78,0.372,0.687,0.522,0.655,0.451,0.432,0.247,0.21
1992,9,0.151,0.29,0.283,0.285,0.531,0.611,0.741,0.906,0.899,0.469,0.427,0.471,0.597,0.492,0.49,0.256,0.26
1992,10,0.026,0.148,0.139,0.106,0.376,0.255,0.307,0.35,0.473,0.146,0.165,0.15,0.231,0.258,0.376,0.308,0.251
1992,11,-0.162,0.044,-0.073,-0.139,-0.087,0.046,-0.04,0.403,0.468,0.257,0.359,0.338,0.417,0.454,0.41,0.18,0.23
