#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2011,12,31,23,50,300,3.2,4.2,1.38,16,9.93,274,1016.1,11,14.9,10.8,99,99
2012,1,1,0,50,303,1.5,2.2,1.18,13.79,9.18,286,1016.1,10.9,14.8,10.7,99,99
2012,1,1,1,50,287,1.6,2.4,1.25,13.79,9.46,280,1016.1,11.7,14.7,11.5,99,99
2012,1,1,2,50,283,2.3,2.9,1.14,16,9.58,281,1016.7,12.7,14.7,12.5,99,99
2012,1,1,3,50,202,1.5,1.9,1.13,16,9.3,232,1017,11.5,14.7,11.3,99,99
2012,1,1,4,50,196,1.1,1.7,1.2,13.79,9.4,248,1017.4,11.1,14.7,10.9,99,99
2012,1,1,5,50,164,2.4,3.2,1.18,14.81,8.72,236,1018,10.9,14.7,10.8,99,99
2012,1,1,6,50,144,1.6,2.5,1.17,12.9,8.92,235,1018.4,11,14.7,10.8,99,99
2012,1,1,7,50,180,0.3,1.4,1.31,14.81,8.75,276,1018.8,11,14.6,10.8,99,99
2012,1,1,8,50,214,0.7,1.5,1.21,16,8.73,254,1018.6,10.9,14.7,10.7,99,99
2012,1,1,9,50,188,0.6,1.6,1.27,13.79,8.91,274,1018.4,10.8,14.7,10.6,99,99
2012,1,1,10,50,196,0.3,1.1,1.19,13.79,8.9,244,1018.7,10.9,14.7,10.7,99,99
2012,1,1,11,50,217,1.2,2.1,1.27,14.81,9.21,257,1018.5,10.5,14.7,10.3,99,99
2012,1,1,12,50,227,1.3,2.5,1.17,12.9,9.09,246,1018.7,10.3,14.7,10.3,99,99
2012,1,1,13,50,168,1,2,1.12,12.12,9.31,256,1019.2,10.3,14.6,10.3,99,99
2012,1,1,14,50,107,0.8,1.6,1.07,13.79,9.4,264,1019.9,10.3,14.5,10.3,99,99
2012,1,1,15,50,150,1,1.9,1.18,13.79,9.47,255,1020.8,10.2,14.5,10.2,99,99
2012,1,1,16,50,138,1.9,3,1.25,12.9,9.23,266,1021.7,10.3,14.4,10.3,99,99
2012,1,1,17,50,143,1.1,2.6,1.15,13.79,8.91,239,1022.1,10.6,14.5,10.6,99,99
2012,1,1,18,50,170,0.9,1.5,1.26,14.81,9.34,223,1021.8,10.8,14.5,10.8,99,99
2012,1,1,19,50,156,2.4,3.4,1.38,13.79,9.53,241,1020.7,11.3,14.7,11.2,99,99
2012,1,1,20,50,198,3.3,4.3,1.23,12.9,9.27,236,1020.1,11,14.7,10.9,99,99
2012,1,1,21,50,223,3.2,4.2,1.11,13.79,9.13,224,1019.6,11.6,14.7,11.5,99,99
2012,1,1,22,50,247,3,4.2,0.99,13.79,9.33,245,1019.4,11.3,14.7,11.1,99,99
2012,1,1,23,50,275,3.3,4.6,0.91,11.43,9.18,225,1019.7,11.2,14.7,11,99,99
2012,1,2,0,50,279,3.4,4.9,1.01,12.12,9.7,258,1019.8,10.8,14.6,10.7,99,99
2012,1,2,1,50,269,3.1,4.3,1.1,13.79,10.22,257,1020.1,10.7,14.5,10.6,99,99
2012,1,2,2,50,267,2.5,3.4,1.06,13.79,9.88,231,1020.5,10.8,14.5,10.7,99,99
2012,1,2,3,50,271,3,3.9,1.03,13.79,9.82,255,1020.9,11.3,14.5,11.2,99,99
2012,1,2,4,50,257,4,5.2,1.06,13.79,10.17,243,1021.3,11.2,14.4,11.1,99,99
2012,1,2,5,50,270,4.2,5.4,0.94,13.79,8.51,263,1021.7,10.8,14.4,10.7,99,99
2012,1,2,8,50,288,3.6,4.8,1,13.79,8.54,256,1021.4,10.8,14.4,10.7,99,99
2012,1,2,9,50,274,5.8,7.2,0.9,12.9,7.39,269,1021.7,11,14.4,10.9,99,99
2012,1,2,10,50,294,5.6,7,1.06,12.12,7.34,260,1021.6,11.6,14.4,11.5,99,99
2012,1,2,11,50,293,3.3,4.3,0.94,12.9,6.76,271,1021.4,12.1,14.5,12,99,99
2012,1,2,12,50,309,4.1,4.9,0.82,11.43,5.9,273,1021.1,13,14.5,12.8,99,99
2012,1,2,13,50,291,4.4,5.2,0.84,10.81,5.42,271,1021.6,13.2,14.4,13,99,99
2012,1,2,14,50,325,1.2,1.4,0.87,12.9,5.29,258,1021.8,13.3,14.4,13,99,99
2012,1,2,15,50,295,3.1,3.9,0.93,12.9,6.09,232,1022.6,13.5,14.3,12.5,99,99
2012,1,2,16,50,291,2.2,2.9,0.84,12.12,5.92,242,1023.7,13.6,14.2,12.6,99,99
2012,1,2,17,50,288,4.3,5.4,0.79,13.79,6.1,288,1024.3,13.8,14.1,13.2,99,99
2012,1,2,18,50,343,3.8,4.5,0.81,12.9,6.46,252,1023.4,13.5,14.2,12.9,99,99
2012,1,2,19,50,319,4.3,5,0.71,12.9,6.2,268,1021.9,13.9,14.4,13.4,99,99
2012,1,2,20,50,321,4.1,4.9,0.75,12.9,6.21,268,1020.9,14.2,14.6,13.8,99,99
2012,1,2,21,50,246,1.7,2.7,0.76,12.12,6.13,254,1020.7,14.6,14.7,13.7,99,99
2012,1,2,22,50,251,3.7,4.9,0.79,12.12,6.47,235,1020.5,14.5,14.8,13.7,99,99
2012,1,2,23,50,269,4.5,5.6,0.71,12.9,5.94,255,1020.3,14.4,14.7,13.5,99,99
2012,1,3,0,50,297,4.7,5.6,0.7,12.9,6.43,252,1020.3,14.7,14.7,14,99,99
2012,1,3,1,50,316,3.5,4.2,0.66,12.9,5.52,246,1020.7,14.6,14.6,14.4,99,99
2012,1,3,2,50,305,4,4.4,0.6,12.12,5.51,265,1021,15,14.6,13,99,99
2012,1,3,3,50,309,4.4,5.1,0.69,12.12,5.86,275,1021.3,15.4,14.5,12.3,99,99
2012,1,3,4,50,265,2.9,3.4,0.72,12.9,6.17,238,1021.7,15.3,14.5,12.9,99,99
2012,1,3,5,50,271,3.3,3.9,0.7,12.12,6,248,1021.5,15.1,14.5,13.3,99,99
2012,1,3,6,50,296,3.5,4.2,0.66,12.9,5.68,229,1021.8,14.9,14.5,13.8,99,99
2012,1,3,7,50,326,1.9,2.6,0.69,12.9,6.06,246,1021.5,14.8,14.5,13.8,99,99
2012,1,3,8,50,339,2.6,3.2,0.67,12.12,6.48,267,1021.2,14.7,14.5,14,99,99
2012,1,3,9,50,318,6.5,7.5,0.68,12.12,5.9,260,1022,14.9,14.7,14,99,99
2012,1,3,10,50,358,2.5,3.8,0.69,11.43,6.09,271,1021.2,14.8,14.8,14.1,99,99
2012,1,3,11,50,333,2.2,2.8,0.68,12.12,5.96,250,1020.9,14.8,14.8,14.1,99,99
2012,1,3,12,50,291,1.9,2.4,0.68,11.43,5.68,260,1020.7,14.7,14.8,14.3,99,99
2012,1,3,13,50,312,4.6,7.2,0.72,12.12,6.1,252,1021.2,15.3,14.8,11.6,99,99
2012,1,3,14,50,328,3.9,4.7,0.77,12.12,6.21,248,1021.5,15,14.7,13.4,99,99
2012,1,3,15,50,356,2.2,2.7,0.82,12.9,6.27,281,1022,14.9,14.7,13.4,99,99
2012,1,3,16,50,315,2.9,3.4,0.87,17.39,6.71,277,1022.5,15.1,14.7,13.4,99,99
2012,1,3,17,50,298,1.9,2.6,1.02,17.39,7.47,278,1023.1,15.2,14.8,13,99,99
2012,1,3,18,50,279,3.4,4,1.05,17.39,7.7,254,1022.7,15.1,14.9,13.2,99,99
2012,1,3,19,50,291,3.1,3.8,1.18,16,8.28,283,1022.1,14.9,15,13.9,99,99
2012,1,3,20,50,266,2.5,3.2,1.28,16,9.1,255,1021.2,15,15.1,14.3,99,99
2012,1,3,21,50,291,2.7,3.2,1.26,16,9.02,283,1020.9,15.1,15.2,14.2,99,99
2012,1,3,22,50,283,1.2,1.5,1.51,16,9.71,285,1020.7,15.2,15.2,14.7,99,99
2012,1,3,23,50,266,1.1,1.7,1.67,16,10.13,272,1020.8,15.6,15.2,14.1,99,99
2012,1,4,0,50,283,1,1.6,1.71,16,10.46,287,1021,15.2,15.2,14.3,99,99
2012,1,4,1,50,304,2.6,3.6,1.89,16,11.01,283,1021.4,15.2,15.1,13.7,99,99
2012,1,4,2,50,330,3.9,4.6,1.66,14.81,10.19,283,1021.5,15,14.9,13.7,99,99
2012,1,4,3,50,323,4.6,6,1.58,14.81,9.39,273,1021.7,15.1,14.9,13.6,99,99
2012,1,4,4,50,323,6,7.1,1.9,13.79,9.18,289,1022,15.2,14.9,13.4,99,99
2012,1,4,5,50,300,3.1,4.1,1.88,16,9.21,272,1022.8,14.9,14.9,13.9,99,99
2012,1,4,6,50,305,2.9,3.7,1.87,16,9.7,277,1022.7,14.8,14.8,13.9,99,99
2012,1,4,7,50,322,4.4,5.3,1.93,16,10.14,295,1022.4,15,14.8,13.7,99,99
2012,1,4,8,50,337,3.3,4.2,1.94,13.79,9.91,294,1022.4,14.9,14.8,13.9,99,99
2012,1,4,9,50,352,2.2,2.9,1.82,14.81,9.47,293,1022.4,14.9,14.7,14.2,99,99
2012,1,4,10,50,315,2.3,3,1.63,14.81,8.77,290,1022.1,14.8,14.7,13.9,99,99
2012,1,4,11,50,272,1.3,2,1.63,14.81,8.78,289,1021.9,14.6,14.7,14.1,99,99
2012,1,4,12,50,236,1.5,2.4,1.62,14.81,9.02,271,1022,14.5,14.6,14,99,99
2012,1,4,13,50,282,2.2,2.7,1.55,13.79,8.98,275,1022.4,14.7,14.6,13.8,99,99
2012,1,4,14,50,320,2.5,3.1,1.67,13.79,9.16,278,1022.7,14.8,14.7,13.8,99,99
2012,1,4,15,50,5,2.2,2.8,1.54,12.9,8.94,279,1023.5,15,14.8,13.4,99,99
2012,1,4,16,50,334,2.3,2.8,1.57,13.79,9.33,285,1024.1,15.3,14.9,12.6,99,99
2012,1,4,17,50,326,2.4,2.9,1.4,12.9,8.89,275,1024.2,15.3,15,13.6,99,99
2012,1,4,18,50,311,1.6,2,1.43,11.43,9.31,278,1023.7,15.6,15.1,12.5,99,99
2012,1,4,19,50,253,1.1,1.6,1.27,12.9,8.79,250,1022.9,15.8,15.5,13.3,99,99
2012,1,4,20,50,288,2.5,3,1.24,12.9,8.65,273,1021.8,15.9,15.6,13.2,99,99
2012,1,4,21,50,268,2.7,3.5,1.38,12.12,9.12,274,1021.5,15.8,15.5,13.9,99,99
2012,1,4,22,50,252,2,2.7,1.32,12.9,8.83,264,1021.3,15.9,15.5,13.9,99,99
2012,1,4,23,50,282,2.5,3.2,1.34,13.79,9.06,271,1021.4,15.8,15.4,14.1,99,99
2012,1,5,0,50,265,2.5,3.3,1.27,13.79,8.23,271,1021.5,15.4,15.3,14.6,99,99
2012,1,5,1,50,323,2.3,3.3,1.48,13.79,9.09,286,1021.5,15.6,15.3,14.2,99,99
2012,1,5,2,50,317,5.5,6.7,1.28,12.12,8,280,1021.5,15.9,15.2,13,99,99
2012,1,5,3,50,326,5.8,6.4,1.23,12.9,7.56,289,1021.3,16.1,15.2,12.6,99,99
2012,1,5,4,50,316,6.3,7.5,1.24,12.12,6.62,280,1021.5,16,15.1,13.1,99,99
2012,1,5,5,50,326,4.4,5.3,1.15,10,6.5,279,1021.8,16,15.1,13.1,99,99
2012,1,5,6,50,335,5.3,5.9,1.28,12.12,7.1,283,1021.5,16.5,15.1,12.1,99,99
2012,1,5,7,50,342,4.9,5.9,1.21,12.9,7.46,292,1021.4,15.3,15,13.8,99,99
2012,1,5,8,50,340,4.4,5.1,1.2,12.9,7.22,302,1020.9,15.4,15,13.8,99,99
2012,1,5,9,50,342,4.3,4.9,1.14,12.12,7.12,300,1021,15.5,15,13.7,99,99
2012,1,5,10,50,338,3.9,4.4,1.22,12.12,7.06,276,1020.6,15.5,15,13.6,99,99
