time,relative_abundance
UTC,ln(abundance+1)
2020-01-01T00:00:00Z,1.4549764
2019-01-01T00:00:00Z,3.7050023
2018-01-01T00:00:00Z,3.4039848
2017-01-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,1.8168796
2015-01-01T00:00:00Z,1.0880737
2014-01-01T00:00:00Z,1.134949
2013-01-01T00:00:00Z,1.1152889
2012-01-01T00:00:00Z,0.41331962
2011-01-01T00:00:00Z,0.08496393
2010-01-01T00:00:00Z,0.6118419
2009-01-01T00:00:00Z,0.0
2008-01-01T00:00:00Z,0.0
2007-01-01T00:00:00Z,0.26847717
2006-01-01T00:00:00Z,0.0
2005-01-01T00:00:00Z,0.24242789
2004-01-01T00:00:00Z,0.114791036
2003-01-01T00:00:00Z,0.89501387
2002-01-01T00:00:00Z,0.28055134
2001-01-01T00:00:00Z,0.76546365
2000-01-01T00:00:00Z,0.35708758
1999-01-01T00:00:00Z,1.4320723
1998-01-01T00:00:00Z,1.0094128
