time,beuti,latitude
UTC,mmol s^-1 m^-1,degrees_north
1988-01-01T00:00:00Z,2.16,39
1988-02-01T00:00:00Z,9.58,39
1988-03-01T00:00:00Z,25.179,39
1988-04-01T00:00:00Z,10.962,39
1988-05-01T00:00:00Z,19.798,39
1988-06-01T00:00:00Z,21.401,39
1988-07-01T00:00:00Z,19.794,39
1988-08-01T00:00:00Z,9.025,39
1988-09-01T00:00:00Z,12.575,39
1988-10-01T00:00:00Z,4.547,39
1988-11-01T00:00:00Z,3.881,39
1988-12-01T00:00:00Z,12.411,39
1989-01-01T00:00:00Z,13.414,39
1989-02-01T00:00:00Z,19.26,39
1989-03-01T00:00:00Z,-0.148,39
1989-04-01T00:00:00Z,9.998,39
1989-05-01T00:00:00Z,25.379,39
1989-06-01T00:00:00Z,18.102,39
1989-07-01T00:00:00Z,24.146,39
1989-08-01T00:00:00Z,11.219,39
1989-09-01T00:00:00Z,3.538,39
1989-10-01T00:00:00Z,4.236,39
1989-11-01T00:00:00Z,3.162,39
1989-12-01T00:00:00Z,4.571,39
1990-01-01T00:00:00Z,8.789,39
1990-02-01T00:00:00Z,16.87,39
1990-03-01T00:00:00Z,21.018,39
1990-04-01T00:00:00Z,21.164,39
1990-05-01T00:00:00Z,28.566,39
1990-06-01T00:00:00Z,13.908,39
1990-07-01T00:00:00Z,5.738,39
1990-08-01T00:00:00Z,3.273,39
1990-09-01T00:00:00Z,1.901,39
1990-10-01T00:00:00Z,7.678,39
1990-11-01T00:00:00Z,10.493,39
1990-12-01T00:00:00Z,17.36,39
1991-01-01T00:00:00Z,3.311,39
1991-02-01T00:00:00Z,6.623,39
1991-03-01T00:00:00Z,12.246,39
1991-04-01T00:00:00Z,25.472,39
1991-05-01T00:00:00Z,43.141,39
1991-06-01T00:00:00Z,31.907,39
1991-07-01T00:00:00Z,14.444,39
1991-08-01T00:00:00Z,6.078,39
1991-09-01T00:00:00Z,4.394,39
1991-10-01T00:00:00Z,4.17,39
1991-11-01T00:00:00Z,11.18,39
1991-12-01T00:00:00Z,1.533,39
1992-01-01T00:00:00Z,1.345,39
1992-02-01T00:00:00Z,-2.57,39
1992-03-01T00:00:00Z,0.604,39
1992-04-01T00:00:00Z,3.255,39
1992-05-01T00:00:00Z,10.61,39
1992-06-01T00:00:00Z,10.198,39
1992-07-01T00:00:00Z,5.536,39
1992-08-01T00:00:00Z,4.992,39
1992-09-01T00:00:00Z,3.8,39
1992-10-01T00:00:00Z,0.263,39
1992-11-01T00:00:00Z,0.884,39
1992-12-01T00:00:00Z,2.796,39
1993-01-01T00:00:00Z,-0.749,39
1993-02-01T00:00:00Z,-1.228,39
1993-03-01T00:00:00Z,2.865,39
1993-04-01T00:00:00Z,11.304,39
1993-05-01T00:00:00Z,4.073,39
1993-06-01T00:00:00Z,12.286,39
1993-07-01T00:00:00Z,17.71,39
1993-08-01T00:00:00Z,6.462,39
1993-09-01T00:00:00Z,6.922,39
1993-10-01T00:00:00Z,1.455,39
1993-11-01T00:00:00Z,4.308,39
1993-12-01T00:00:00Z,0.148,39
1994-01-01T00:00:00Z,1.708,39
1994-02-01T00:00:00Z,1.476,39
1994-03-01T00:00:00Z,4.963,39
1994-04-01T00:00:00Z,18.896,39
1994-05-01T00:00:00Z,16.045,39
1994-06-01T00:00:00Z,19.103,39
1994-07-01T00:00:00Z,15.015,39
1994-08-01T00:00:00Z,6.512,39
1994-09-01T00:00:00Z,1.954,39
1994-10-01T00:00:00Z,8.432,39
1994-11-01T00:00:00Z,4.973,39
1994-12-01T00:00:00Z,0.57,39
1995-01-01T00:00:00Z,-15.855,39
1995-02-01T00:00:00Z,2.519,39
1995-03-01T00:00:00Z,0.792,39
1995-04-01T00:00:00Z,16.777,39
1995-05-01T00:00:00Z,17.695,39
1995-06-01T00:00:00Z,14.565,39
1995-07-01T00:00:00Z,4.65,39
1995-08-01T00:00:00Z,5.868,39
1995-09-01T00:00:00Z,0.743,39
1995-10-01T00:00:00Z,2.536,39
1995-11-01T00:00:00Z,2.247,39
1995-12-01T00:00:00Z,-0.59,39
1996-01-01T00:00:00Z,3.307,39
1996-02-01T00:00:00Z,-1.002,39
1996-03-01T00:00:00Z,6.644,39
1996-04-01T00:00:00Z,7.183,39
1996-05-01T00:00:00Z,26.232,39
1996-06-01T00:00:00Z,32.898,39
1996-07-01T00:00:00Z,15.877,39
1996-08-01T00:00:00Z,13.986,39
1996-09-01T00:00:00Z,5.366,39
1996-10-01T00:00:00Z,4.477,39
1996-11-01T00:00:00Z,5.136,39
1996-12-01T00:00:00Z,-2.138,39
1997-01-01T00:00:00Z,0.571,39
1997-02-01T00:00:00Z,15.522,39
1997-03-01T00:00:00Z,16.252,39
1997-04-01T00:00:00Z,23.427,39
1997-05-01T00:00:00Z,3.597,39
1997-06-01T00:00:00Z,13.117,39
1997-07-01T00:00:00Z,9.588,39
1997-08-01T00:00:00Z,2.172,39
1997-09-01T00:00:00Z,0.185,39
1997-10-01T00:00:00Z,1.638,39
1997-11-01T00:00:00Z,0.001,39
1997-12-01T00:00:00Z,0.414,39
1998-01-01T00:00:00Z,-1.915,39
1998-02-01T00:00:00Z,0.463,39
1998-03-01T00:00:00Z,7.275,39
1998-04-01T00:00:00Z,13.526,39
1998-05-01T00:00:00Z,5.483,39
1998-06-01T00:00:00Z,12.388,39
1998-07-01T00:00:00Z,12.661,39
1998-08-01T00:00:00Z,9.411,39
1998-09-01T00:00:00Z,4.257,39
1998-10-01T00:00:00Z,5.01,39
1998-11-01T00:00:00Z,0.784,39
1998-12-01T00:00:00Z,12.337,39
1999-01-01T00:00:00Z,7.52,39
1999-02-01T00:00:00Z,1.289,39
1999-03-01T00:00:00Z,8.838,39
1999-04-01T00:00:00Z,47.667,39
1999-05-01T00:00:00Z,47.661,39
1999-06-01T00:00:00Z,34.132,39
1999-07-01T00:00:00Z,17.461,39
1999-08-01T00:00:00Z,4.53,39
1999-09-01T00:00:00Z,8.033,39
1999-10-01T00:00:00Z,5.147,39
1999-11-01T00:00:00Z,-0.527,39
1999-12-01T00:00:00Z,11.529,39
2000-01-01T00:00:00Z,1.528,39
2000-02-01T00:00:00Z,-1.583,39
2000-03-01T00:00:00Z,27.973,39
2000-04-01T00:00:00Z,9.752,39
2000-05-01T00:00:00Z,16.397,39
2000-06-01T00:00:00Z,13.302,39
2000-07-01T00:00:00Z,17.572,39
2000-08-01T00:00:00Z,10.495,39
2000-09-01T00:00:00Z,4.136,39
2000-10-01T00:00:00Z,6.293,39
2000-11-01T00:00:00Z,6.209,39
2000-12-01T00:00:00Z,3.499,39
2001-01-01T00:00:00Z,4.392,39
2001-02-01T00:00:00Z,5.834,39
2001-03-01T00:00:00Z,20.602,39
2001-04-01T00:00:00Z,25.426,39
2001-05-01T00:00:00Z,35.774,39
2001-06-01T00:00:00Z,32.484,39
2001-07-01T00:00:00Z,21.196,39
2001-08-01T00:00:00Z,9.63,39
2001-09-01T00:00:00Z,6.161,39
2001-10-01T00:00:00Z,9.323,39
2001-11-01T00:00:00Z,0.97,39
2001-12-01T00:00:00Z,4.675,39
2002-01-01T00:00:00Z,12.807,39
2002-02-01T00:00:00Z,4.81,39
2002-03-01T00:00:00Z,18.625,39
2002-04-01T00:00:00Z,25.684,39
2002-05-01T00:00:00Z,35.645,39
2002-06-01T00:00:00Z,50.279,39
2002-07-01T00:00:00Z,17.338,39
2002-08-01T00:00:00Z,17.016,39
2002-09-01T00:00:00Z,5.542,39
2002-10-01T00:00:00Z,10.907,39
2002-11-01T00:00:00Z,-1.168,39
2002-12-01T00:00:00Z,-3.741,39
2003-01-01T00:00:00Z,-0.322,39
2003-02-01T00:00:00Z,6.145,39
2003-03-01T00:00:00Z,8.352,39
2003-04-01T00:00:00Z,8.566,39
2003-05-01T00:00:00Z,28.824,39
2003-06-01T00:00:00Z,32.966,39
2003-07-01T00:00:00Z,24.147,39
2003-08-01T00:00:00Z,3.365,39
2003-09-01T00:00:00Z,3.004,39
2003-10-01T00:00:00Z,7.212,39
2003-11-01T00:00:00Z,0.291,39
2003-12-01T00:00:00Z,-2.752,39
2004-01-01T00:00:00Z,2.505,39
2004-02-01T00:00:00Z,0.99,39
2004-03-01T00:00:00Z,19.905,39
2004-04-01T00:00:00Z,12.705,39
2004-05-01T00:00:00Z,15.662,39
2004-06-01T00:00:00Z,19.932,39
2004-07-01T00:00:00Z,6.035,39
2004-08-01T00:00:00Z,3.154,39
2004-09-01T00:00:00Z,8.163,39
2004-10-01T00:00:00Z,2.511,39
2004-11-01T00:00:00Z,9.429,39
2004-12-01T00:00:00Z,2.098,39
2005-01-01T00:00:00Z,-3.713,39
2005-02-01T00:00:00Z,-0.148,39
2005-03-01T00:00:00Z,3.883,39
2005-04-01T00:00:00Z,14.673,39
2005-05-01T00:00:00Z,6.595,39
2005-06-01T00:00:00Z,22.635,39
2005-07-01T00:00:00Z,17.63,39
2005-08-01T00:00:00Z,14.45,39
2005-09-01T00:00:00Z,13.905,39
2005-10-01T00:00:00Z,5.216,39
2005-11-01T00:00:00Z,4.768,39
2005-12-01T00:00:00Z,0.62,39
2006-01-01T00:00:00Z,0.436,39
2006-02-01T00:00:00Z,7.256,39
2006-03-01T00:00:00Z,3.812,39
2006-04-01T00:00:00Z,16.844,39
2006-05-01T00:00:00Z,26.808,39
2006-06-01T00:00:00Z,20.094,39
2006-07-01T00:00:00Z,17.093,39
2006-08-01T00:00:00Z,17.761,39
2006-09-01T00:00:00Z,15.677,39
2006-10-01T00:00:00Z,2.139,39
2006-11-01T00:00:00Z,0.677,39
2006-12-01T00:00:00Z,2.333,39
2007-01-01T00:00:00Z,13.363,39
2007-02-01T00:00:00Z,14.716,39
2007-03-01T00:00:00Z,26.715,39
2007-04-01T00:00:00Z,25.383,39
2007-05-01T00:00:00Z,34.307,39
2007-06-01T00:00:00Z,33.5,39
2007-07-01T00:00:00Z,12.17,39
2007-08-01T00:00:00Z,6.951,39
2007-09-01T00:00:00Z,8.099,39
2007-10-01T00:00:00Z,4.365,39
2007-11-01T00:00:00Z,9.757,39
2007-12-01T00:00:00Z,6.841,39
2008-01-01T00:00:00Z,0.173,39
2008-02-01T00:00:00Z,15.419,39
2008-03-01T00:00:00Z,26.171,39
2008-04-01T00:00:00Z,22.793,39
2008-05-01T00:00:00Z,40.162,39
2008-06-01T00:00:00Z,39.454,39
2008-07-01T00:00:00Z,13.561,39
2008-08-01T00:00:00Z,15.841,39
2008-09-01T00:00:00Z,4.644,39
2008-10-01T00:00:00Z,8.455,39
2008-11-01T00:00:00Z,1.164,39
2008-12-01T00:00:00Z,6.34,39
2009-01-01T00:00:00Z,5.413,39
2009-02-01T00:00:00Z,-1.243,39
2009-03-01T00:00:00Z,26.478,39
2009-04-01T00:00:00Z,27.489,39
2009-05-01T00:00:00Z,26.164,39
2009-06-01T00:00:00Z,15.854,39
2009-07-01T00:00:00Z,13.123,39
2009-08-01T00:00:00Z,5.684,39
2009-09-01T00:00:00Z,3.422,39
2009-10-01T00:00:00Z,9.848,39
2009-11-01T00:00:00Z,7.944,39
2009-12-01T00:00:00Z,-1.357,39
2010-01-01T00:00:00Z,-2.49,39
2010-02-01T00:00:00Z,0.826,39
2010-03-01T00:00:00Z,8.798,39
2010-04-01T00:00:00Z,20.924,39
2010-05-01T00:00:00Z,18.487,39
2010-06-01T00:00:00Z,31.701,39
2010-07-01T00:00:00Z,26.393,39
2010-08-01T00:00:00Z,18.372,39
2010-09-01T00:00:00Z,5.376,39
2010-10-01T00:00:00Z,4.444,39
2010-11-01T00:00:00Z,6.146,39
2010-12-01T00:00:00Z,-3.95,39
2011-01-01T00:00:00Z,5.237,39
2011-02-01T00:00:00Z,7.107,39
2011-03-01T00:00:00Z,-1.285,39
2011-04-01T00:00:00Z,16.158,39
2011-05-01T00:00:00Z,24.877,39
2011-06-01T00:00:00Z,26.033,39
2011-07-01T00:00:00Z,18.616,39
2011-08-01T00:00:00Z,12.855,39
2011-09-01T00:00:00Z,4.337,39
2011-10-01T00:00:00Z,3.399,39
2011-11-01T00:00:00Z,3.759,39
2011-12-01T00:00:00Z,11.095,39
2012-01-01T00:00:00Z,2.599,39
2012-02-01T00:00:00Z,20.855,39
2012-03-01T00:00:00Z,-0.643,39
2012-04-01T00:00:00Z,9.997,39
2012-05-01T00:00:00Z,32.041,39
2012-06-01T00:00:00Z,29.181,39
2012-07-01T00:00:00Z,17.74,39
2012-08-01T00:00:00Z,8.836,39
2012-09-01T00:00:00Z,5.24,39
2012-10-01T00:00:00Z,1.631,39
2012-11-01T00:00:00Z,-0.22,39
2012-12-01T00:00:00Z,1.887,39
2013-01-01T00:00:00Z,7.699,39
2013-02-01T00:00:00Z,21.821,39
2013-03-01T00:00:00Z,17.677,39
2013-04-01T00:00:00Z,41.843,39
2013-05-01T00:00:00Z,22.949,39
2013-06-01T00:00:00Z,26.28,39
2013-07-01T00:00:00Z,22.459,39
2013-08-01T00:00:00Z,8.687,39
2013-09-01T00:00:00Z,4.653,39
2013-10-01T00:00:00Z,10.806,39
2013-11-01T00:00:00Z,5.993,39
2013-12-01T00:00:00Z,10.575,39
2014-01-01T00:00:00Z,0.965,39
2014-02-01T00:00:00Z,1.423,39
2014-03-01T00:00:00Z,3.836,39
2014-04-01T00:00:00Z,10.452,39
2014-05-01T00:00:00Z,22.189,39
2014-06-01T00:00:00Z,34.233,39
2014-07-01T00:00:00Z,7.378,39
2014-08-01T00:00:00Z,11.138,39
2014-09-01T00:00:00Z,3.164,39
2014-10-01T00:00:00Z,0.632,39
