"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2009,"CEH","CC","Egg1",54.6,37.1,2025.66
2009,"CEH","BH","Egg1",50.15,34.35,1722.6525
2009,"CEH","DO","Egg1",51.15,35.5,1815.825
2010,"KWB","CC","Egg1",52.5,36.2,1900.5
2010,"NAG","DO","Egg1",50,35,1750
2010,"NAG","LC","Egg1",52.5,36,1890
2010,"NAG","CC","Egg1",53,34,1802
2010,"NAG","CC","Egg1",51,34,1734
2010,"NAG","CC","Egg1",55,34,1870
2010,"SKT","BT","Egg1",52,34.5,1794
2010,"SKT","DO","Egg1",55,37,2035
2010,"NAG","CC","Egg1",55,36,1980
2010,"NAG","CC","Egg1",54,35.5,1917
2010,"NAG","CC","Egg1",52,34,1768
2010,"SLA","BH","Egg1",51,35,1785
2010,"SLA","BH","Egg1",55,36,1980
2010,"KWB","CC","Egg1",51,34.5,1759.5
2010,"KWB","CC","Egg1",51.5,35,1802.5
2010,"KWB","CC","Egg1",54,34.5,1863
2010,"KWB","CC","Egg1",54.5,37.5,2043.75
2010,"KWB","CC","Egg1",51,34.5,1759.5
2010,"KWB","CC","Egg1",53,34.5,1828.5
2010,"DLW","APNC","Egg1",50.5,35,1767.5
2010,"DLW","APNC","Egg1",55,37,2035
2010,"DLW","APNC","Egg1",53.5,35.5,1899.25
2010,"DLW","APNC","Egg1",53,36,1908
2010,"DLW","BT","Egg1",52,32,1664
2010,"DLW","BT","Egg1",52,34,1768
2010,"SAA","LC","Egg1",54,36,1944
2010,"SAA","LC","Egg1",56,36,2016
2010,"SAA","LC","Egg1",53.5,35,1872.5
2010,"SAA","LC","Egg1",50,34,1700
2010,"SAA","LC","Egg1",53.5,35,1872.5
2010,"SAA","LC","Egg1",53,33,1749
2010,"SAA","LC","Egg1",52,35.5,1846
2010,"SAA","APNC","Egg1",52.5,37,1942.5
2010,"SAA","APNC","Egg1",54,35,1890
2010,"SAA","APNC","Egg1",53.1,32.5,1725.75
2010,"SAA","BT","Egg1",52.7,35.5,1870.85
2010,"SAA","CC","Egg1",52.5,37,1942.5
2010,"SAA","CC","Egg1",52.5,34.5,1811.25
2010,"SAA","CC","Egg1",53,37.5,1987.5
2010,"SAA","CC","Egg1",52,34.5,1794
2010,"SAA","CC","Egg1",55.5,36,1998
2010,"NAG","DO","Egg1",53,32,1696
2010,"NAG","CC","Egg1",54,36,1944
2010,"NAG","CC","Egg1",54,34.5,1863
2010,"NAG","CC","Egg1",54,35,1890
2010,"SAA","BT","Egg1",53.5,35,1872.5
2010,"SAA","BT","Egg1",52,34.3,1783.6
2010,"SAA","BT","Egg1",51,34.9,1779.9
2010,"SAA","DO","Egg1",52.7,35,1844.5
2010,"SAA","DO","Egg1",54.4,34.6,1882.24
2010,"SKT","APNC","Egg1",53,36.6,1939.8
2010,"SKT","APNC","Egg1",52.5,34.9,1832.25
2010,"SAA","LC","Egg1",54.4,37.1,2018.24
2010,"SAA","LC","Egg1",51.1,34,1737.4
