year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,1,-4.75,0.46,-0.442,-0.892,-1.134,-2.474,-1.992,1.934,2.16,0.388,1.517,4.947,3.136,1.411,0.614,0.892,0.304
1988,2,0.225,1.068,3.258,1.393,6.438,9.469,6.864,10.786,9.58,5.043,3.261,5.663,1.358,0.828,0.596,0.453,0.047
1988,3,0.658,-0.248,0.762,-1.72,8.93,10.103,12.638,19.528,25.179,12.766,16.402,11.624,9.998,3.321,0.579,0.633,0.882
1988,4,-1.255,-0.327,0.902,-1.43,4.704,8.97,3.655,6.143,10.962,-1.628,4.471,3.317,4.503,1.346,0.17,0.189,0.635
1988,5,-0.214,0.056,0.068,-0.935,2.39,4.624,4.003,12.773,19.798,11.123,15.532,13.531,15.041,5.891,0.735,0.754,1.636
1988,6,-0.032,0.064,0.297,0.205,1.772,3.485,2.795,15.438,21.401,12.927,7.499,7.077,7.471,2.674,0.288,0.498,0.716
1988,7,0.148,0.194,1.198,2.415,7.898,11.389,13.395,19.659,19.794,8.419,6.772,5.581,4.551,0.59,0.03,0.109,0.412
1988,8,0.296,0.357,1.712,4.152,11.36,15.536,12.079,12.384,9.025,3.564,1.383,0.966,0.817,0.189,0.008,0.162,0.406
1988,9,0.267,0.166,1.252,3.104,8.735,12.232,10.194,12.995,12.575,5.62,3.784,1.794,1.055,0.122,0.003,0.038,0.22
1988,10,0,0.006,0.462,0.193,1.75,3.711,0.759,6.469,4.547,1.516,2.239,1.836,1.125,0.2,0.01,0.075,0.235
1988,11,-0.36,-0.106,-0.401,-0.455,-0.389,-1.174,-2.123,2.735,3.881,2.4,2.076,3.12,3.513,1.434,0.207,0.162,1.042
1988,12,-0.354,0.034,1.051,-0.299,4.742,7.533,9.39,12.142,12.411,4.895,6.105,3.97,3.953,1.945,0.912,0.332,1.567
1989,1,-1.331,1.413,0.949,-1.237,6.098,8.986,9.833,17.221,13.414,8.685,11.054,8.464,9.226,3.608,1.434,1.002,-0.612
1989,2,0.526,0.106,-1.359,-0.572,10.074,5.716,5.177,6.798,19.26,4.862,9.825,3.738,5.184,2.001,1.679,1.026,1.809
1989,3,-11.73,-4.104,-10.264,-7.357,-4.342,-12.393,-9.235,-7.69,-0.148,0.437,-0.241,7.624,7.144,4.084,2.018,1.294,4.221
1989,4,0.051,2.016,2.079,0.969,5.733,6.1,4.993,6.696,9.998,3.116,5.467,5.628,6.074,2.347,0.286,0.573,1.638
1989,5,0.211,0.414,1.16,0.964,5.387,9.801,11.323,20.19,25.379,12.904,11.795,14.046,17.339,5.333,0.328,0.484,2.164
1989,6,0.122,0.095,0.739,1.125,7.128,10.909,9.892,18.387,18.102,7.534,4.826,6.749,9.803,2.153,0.163,0.367,1.16
1989,7,0.001,0.007,0.125,0.298,2.648,5.899,8.73,17.567,24.146,9.442,13.079,12.136,8.89,1.042,0.04,0.119,0.291
1989,8,0.316,0.3,0.726,2.317,3.22,6.915,10.09,13.921,11.219,6.948,3.29,3.854,2.935,0.261,0.009,0.069,0.3
1989,9,0.138,0.252,1.485,2.273,4.151,6.286,5.946,6.407,3.538,1.104,0.77,0.795,1.096,0.262,0.005,0.095,0.407
1989,10,-0.072,0.209,0.31,0.14,1.947,1.144,1.552,3.706,4.236,1.12,0.98,1.065,0.729,0.142,0.015,0.096,0.305
