time,cuti,latitude
UTC,m^2 s^(-1),degrees_north
1988-01-01T00:00:00Z,0.201,39
1988-02-01T00:00:00Z,0.751,39
1988-03-01T00:00:00Z,1.473,39
1988-04-01T00:00:00Z,0.629,39
1988-05-01T00:00:00Z,1.371,39
1988-06-01T00:00:00Z,1.663,39
1988-07-01T00:00:00Z,1.351,39
1988-08-01T00:00:00Z,0.976,39
1988-09-01T00:00:00Z,1.058,39
1988-10-01T00:00:00Z,0.525,39
1988-11-01T00:00:00Z,0.434,39
1988-12-01T00:00:00Z,0.833,39
1989-01-01T00:00:00Z,0.732,39
1989-02-01T00:00:00Z,0.965,39
1989-03-01T00:00:00Z,0.028,39
1989-04-01T00:00:00Z,0.622,39
1989-05-01T00:00:00Z,1.681,39
1989-06-01T00:00:00Z,1.179,39
1989-07-01T00:00:00Z,2.149,39
1989-08-01T00:00:00Z,1.173,39
1989-09-01T00:00:00Z,0.352,39
1989-10-01T00:00:00Z,0.578,39
1989-11-01T00:00:00Z,0.733,39
1989-12-01T00:00:00Z,0.665,39
1990-01-01T00:00:00Z,0.619,39
1990-02-01T00:00:00Z,0.936,39
1990-03-01T00:00:00Z,1.163,39
1990-04-01T00:00:00Z,1.331,39
1990-05-01T00:00:00Z,1.467,39
1990-06-01T00:00:00Z,1.229,39
1990-07-01T00:00:00Z,0.856,39
1990-08-01T00:00:00Z,0.629,39
1990-09-01T00:00:00Z,0.962,39
1990-10-01T00:00:00Z,1.135,39
1990-11-01T00:00:00Z,1.206,39
1990-12-01T00:00:00Z,1.102,39
1991-01-01T00:00:00Z,0.29,39
1991-02-01T00:00:00Z,0.36,39
1991-03-01T00:00:00Z,0.733,39
1991-04-01T00:00:00Z,1.205,39
1991-05-01T00:00:00Z,1.911,39
1991-06-01T00:00:00Z,1.409,39
1991-07-01T00:00:00Z,0.979,39
1991-08-01T00:00:00Z,0.895,39
1991-09-01T00:00:00Z,0.755,39
1991-10-01T00:00:00Z,0.746,39
1991-11-01T00:00:00Z,0.987,39
1991-12-01T00:00:00Z,0.047,39
1992-01-01T00:00:00Z,0.064,39
1992-02-01T00:00:00Z,-0.324,39
1992-03-01T00:00:00Z,0.185,39
1992-04-01T00:00:00Z,0.752,39
1992-05-01T00:00:00Z,1.269,39
1992-06-01T00:00:00Z,0.832,39
1992-07-01T00:00:00Z,0.932,39
1992-08-01T00:00:00Z,0.78,39
